,SchoolCode,Expenditure
1490,3855,1928718
1491,3856,1018366
1492,3857,1760238
1493,3861,174952
1494,3868,4605112
1495,3874,3973243
1496,3879,12822381
1497,3880,12172232
1498,3890,9233544
1499,3891,11690037
1500,3893,6861670
1501,3894,2197050
1502,3896,6920666
1503,3898,12211153
1504,3899,2822072
1505,3900,3637768
1506,3902,10948245
1507,3903,495235
1508,3909,3606456
1509,3912,4012085
1510,3913,217900
1511,3918,3789455
1512,3921,25516459
1513,3922,7973033
1514,3925,406509
1515,3926,10482191
1516,3927,6366202
1517,3929,6650279
1518,3930,4421481
1519,3932,2422847
1520,3937,12550347
1521,3939,10932262
1522,3941,7941451
1523,3942,10090169
1524,3951,14773034
1525,3958,12397857
1526,3960,17326453
1527,3961,5094649
1528,3962,19330838
1529,3964,6948127
1530,3965,5833334
1531,3968,4833204
1532,3969,4589853
1533,3970,7625128
1534,3971,7402738
1535,3972,2418544
1536,3974,10431112
1537,3977,2990316
1538,3981,49962
1539,3994,9309426
1540,3995,7549380
1541,3996,8106175
1542,3997,6781046
1543,4000,10004277
1544,4003,1451494
1545,4004,3498474
1546,4007,1035507
1547,4011,1453592
1548,4013,9142846
1549,4014,5568468
1550,4015,6173222
1551,4016,8116494
1552,4017,9843995
1553,4018,7426759
1554,4019,4889327
1555,4020,4533064
1556,4021,12780868
1557,4022,1706273
1558,4028,10948644
1559,4029,6522170
1560,4031,3236586
1561,4033,4939286
1562,4034,6248414
1563,4035,9163135
1564,4036,5675337
1565,4038,3874126
1566,4039,2569430
1567,4040,11172316
1568,4041,10523051
1569,4042,4530610
1570,4049,3865673
1571,4051,11492729
1572,4055,10487466
1573,4058,7524094
1574,4059,8172448
1575,4060,7960159
1576,4062,5661780
1577,4063,3232801
1578,4064,10443128
1579,4065,6984213
1580,4069,6213966
1581,4071,3290636
1582,4072,7016666
1583,4073,6400945
1584,4075,8910900
1585,4079,6131253
1586,4080,7829841
1587,4081,18982510
1588,4092,506335
1589,4093,4537883
1590,4095,11549194
1591,4096,8165304
1592,4097,5960299
1593,4098,5646465
1594,4099,7298430
1595,4100,17141436
1596,4101,6648322
1597,4102,7830627
1598,4103,10246669
1599,4104,19674086
1600,4105,2284727
1601,4106,7520789
1602,4107,2824969
1603,4108,334584
1604,4109,3519547
1605,4113,5595405
1606,4118,5643601
1607,4120,7036611
1608,4121,6574864
1609,4122,8516878
1610,4123,8254860
1611,4124,5726294
1612,4125,9265254
1613,4126,6483117
1614,4127,9511688
1615,4128,24073766
1616,4130,6136174
1617,4131,12868289
1618,4132,9346968
1619,4133,8609225
1620,4134,7599355
1621,4135,6162534
1622,4136,5912145
1623,4137,5879560
1624,4139,10346640
1625,4141,6437818
1626,4142,10665470
1627,4145,10304056
1628,4146,6984133
1629,4147,7508943
1630,4148,15170235
1631,4149,6668961
1632,4150,7559354
1633,4154,8169695
1634,4155,9076169
1635,4156,6545859
1636,4158,19608030
1637,4159,7515071
1638,4160,8204781
1639,4162,21623688
1640,4163,7423255
1641,4164,8597199
1642,4165,6695916
1643,4166,7276562
1644,4167,1306494
1645,4170,4258160
1646,4178,118121
1647,4180,5113530
1648,4181,6616530
1649,4182,6191510
1650,4183,9567160
1651,4184,8898547
1652,4185,6743946
1653,4186,10177867
1654,4187,4435726
1655,4189,5833054
1656,4191,4228434
1657,4192,6497639
1658,4193,5608893
1659,4196,4002380
1660,4201,11208135
1661,4202,6852716
1662,4203,6768572
1663,4204,9559830
1664,4205,6253990
1665,4206,3911723
1666,4207,7165331
1667,4208,22567744
1668,4209,12038457
1669,4210,7658407
1670,4213,2641084
1671,4214,1455589
1672,4215,1899464
1673,4217,4515608
1674,4218,10781469
1675,4219,6929645
1676,4220,4673320
1677,4221,3274696
1678,4222,3928817
1679,4223,3076715
1680,4224,6452645
1681,4225,3394983
1682,4226,4513628
1683,4227,6663326
1684,4228,6227492
1685,4229,100384
1686,4230,5498875
1687,4231,12372792
1688,4232,1719043
1689,4237,6069195
1690,4238,3524129
1691,4241,8220975
1692,4245,5534217
1693,4247,3093169
1694,4248,7385249
1695,4249,10036590
1696,4250,6201386
1697,4254,9468377
1698,4255,10780000
1699,4256,8591752
1700,4260,6591064
1701,4261,2535258
1702,4262,8345475
1703,4263,58599
1704,4264,4715858
1705,4265,2721900
1706,4267,569630
1707,4271,6725264
1708,4272,1161151
1709,4274,8009942
1710,4278,781344
1711,4279,586658
1712,4283,210471
1713,4286,401607
1714,4287,2842139
1715,4288,4000181
1716,4289,5783659
1717,4293,6308890
1718,4294,8311095
1719,4295,3083992
1720,4296,8873547
1721,4297,9567103
1722,4298,8142151
1723,4299,7316164
1724,4300,8375385
1725,4301,6374812
1726,4302,8633829
1727,4303,11740604
1728,4304,9470859
1729,4305,6052703
1730,4306,11033482
1731,4307,7841657
1732,4308,7512882
1733,4309,7453119
1734,4311,8654246
1735,4314,3504791
1736,4316,9594629
1737,4318,9788458
1738,4320,7067278
1739,4321,8332785
1740,4323,8431232
1741,4324,6474974
1742,4325,7439961
1743,4326,8309901
1744,4327,8740761
1745,4328,7729654
1746,4329,8609752
1747,4330,5988227
1748,4331,7412761
1749,4332,6124484
1750,4333,6054794
1751,4334,13302362
1752,4335,3207367
1753,4336,5206277
1754,4341,6923578
1755,4342,9887213
1756,4343,6596173
1757,4344,9984977
1758,4345,5709725
1759,4346,7650753
1760,4347,8036282
1761,4348,6624108
1762,4349,7419793
1763,4350,5724304
1764,4352,9650741
1765,4353,6381453
1766,4354,7476846
1767,4355,9377548
1768,4356,10250163
1769,4357,11290662
1770,4359,7481429
1771,4360,8923012
1772,4361,8681654
1773,4362,7949557
1774,4363,11293921
1775,4364,5302320
1776,4365,6813006
1777,4366,6941873
1778,4367,6636328
1779,4368,8070555
1780,4369,2238020
1781,4371,13280808
1782,4372,6162739
1783,4373,5532948
1784,4374,7580341
1785,4375,9049871
1786,4376,9548905
1787,4377,12504154
1788,4378,7982417
1789,4379,5399727
1790,4380,8464491
1791,4381,6653352
1792,4382,10871073
1793,4383,7362967
1794,4384,4886258
1795,4385,11980979
1796,4386,15598987
1797,4387,7780120
1798,4389,7329429
1799,4391,7163127
1800,4392,8047276
1801,4393,5507483
1802,4394,982172
1803,4395,11688600
1804,4396,8629066
1805,4397,10587525
1806,4399,5382237
1807,4400,8276145
1808,4402,6665242
1809,4403,4917771
1810,4405,9451757
1811,4406,8361658
1812,4407,10367946
1813,4408,8041115
1814,4409,9723290
1815,4410,9175601
1816,4411,7116409
1817,4412,7276473
1818,4413,7235698
1819,4414,8773207
1820,4415,9908820
1821,4416,7334964
1822,4417,8734888
1823,4418,7134156
1824,4420,8091401
1825,4421,6272096
1826,4422,7624981
1827,4423,7115126
1828,4424,5341172
1829,4425,12421087
1830,4426,5944266
1831,4427,16483352
1832,4428,4243458
1833,4429,10899938
1834,4430,12547539
1835,4431,6837707
1836,4432,8811662
1837,4433,25642177
1838,4435,6373630
1839,4436,9400605
1840,4437,12671856
1841,4438,28484795
1842,4439,25582660
1843,4440,9395363
1844,4441,12875929
1845,4442,7828063
1846,4443,10223269
1847,4444,7013190
1848,4445,9224998
1849,4446,5947333
1850,4447,7034914
1851,4448,6289516
1852,4450,4284860
1853,4451,6093125
1854,4452,9135870
1855,4453,9092533
1856,4454,8511665
1857,4455,10951424
1858,4457,10540461
1859,4458,5205091
1860,4459,435308
1861,4460,11529296
1862,4461,8731854
1863,4462,12695568
1864,4463,7402245
1865,4465,8208409
1866,4466,5513184
1867,4467,5831607
1868,4468,8343846
1869,4469,7336672
1870,4470,7668688
1871,4471,7221798
1872,4472,6718289
1873,4473,5503856
1874,4474,21275147
1875,4475,4642890
1876,4476,7774911
1877,4477,4860917
1878,4478,5356358
1879,4479,6754278
1880,4480,7790378
1881,4481,3232982
1882,4482,7123548
1883,4483,6396168
1884,4484,19881427
1885,4485,8518466
1886,4486,4392480
1887,4487,6944437
1888,4489,6259194
1889,4490,7483324
1890,4491,20161059
1891,4492,18208831
1892,4493,8949376
1893,4494,4798557
1894,4495,27726462
1895,4496,8680296
1896,4497,10572307
1897,4498,11389428
1898,4499,8568631
1899,4500,11739185
1900,4501,4871409
1901,4502,10008099
1902,4503,9862491
1903,4504,21262957
1904,4505,8093307
1905,4506,10281803
1906,4508,11599942
1907,4509,16258616
1908,4511,11281896
1909,4512,7228785
1910,4513,6758726
1911,4515,15966148
1912,4516,10664004
1913,4517,6322639
1914,4518,5581583
1915,4519,7836930
1916,4520,10134048
1917,4521,5293008
1918,4523,21147533
1919,4525,5437585
1920,4526,8554678
1921,4527,6343594
1922,4528,22437881
1923,4529,6371828
1924,4530,10381116
1925,4532,7218840
1926,4533,5696817
1927,4534,8115788
1928,4535,7877659
1929,4536,8762943
1930,4537,6309951
1931,4538,7237728
1932,4540,18853846
1933,4541,6897411
1934,4542,7441489
1935,4543,7892337
1936,4544,6857411
1937,4545,6733941
1938,4547,8540222
1939,4548,7509193
1940,4549,4074577
1941,4550,6191501
1942,4551,5158412
1943,4552,2453778
1944,4553,4990010
1945,4554,7242046
1946,4555,7760049
1947,4557,7158493
1948,4558,1726162
1949,4559,4723855
1950,4560,8201984
1951,4561,13576410
1952,4562,7520697
1953,4563,6332927
1954,4564,12061852
1955,4565,7668587
1956,4566,292711
1957,4567,25212612
1958,4568,7564511
1959,4569,16121469
1960,4570,20154022
1961,4571,6122437
1962,4573,8133591
1963,4574,5837309
1964,4575,9871931
1965,4576,5866035
1966,4577,5670579
1967,4578,9256815
1968,4579,7842281
1969,4581,8090025
1970,4582,7641339
1971,4583,8933894
1972,4585,19469466
1973,4586,8667101
1974,4587,7894187
1975,4588,7284479
1976,4590,8496420
1977,4591,10621425
1978,4592,9311186
1979,4593,3152087
1980,4594,7022906
1981,4595,11570531
1982,5003,63087
1983,5004,1335372
1984,5008,130757
1985,5010,8014515
1986,5011,66999
1987,5013,141778
1988,5014,1219860
1989,5015,8008998
1990,5016,11504115
1991,5018,4701148
1992,5019,3448499
1993,5020,10721433
1994,5021,881969
1995,5027,10408933
1996,5028,3375845
1997,5029,8592224
1998,5030,1147223
1999,5032,2492714
2000,5033,22450848
2001,5035,522058
2002,5037,21179070
2003,5040,12258559
2004,5042,616017
2005,5043,6150617
2006,5045,34119
2007,5046,1759104
2008,5047,2141560
2009,5048,1550984
2010,5049,10379491
2011,5051,9290526
2012,5052,8558680
2013,5053,8514877
2014,5054,10617554
2015,5055,799384
2016,5056,10296206
2017,5057,1259441
2018,5058,1494619
2019,5059,226830
2020,5066,7929896
2021,5070,2599243
2022,5071,22088493
2023,5072,6889153
2024,5075,1732130
2025,5076,189378
2026,5077,245089
2027,5078,3983312
2028,5079,31901
2029,5081,224796
2030,5082,7687202
2031,5084,158181
2032,5085,10007445
2033,5086,55552
2034,5087,48704
2035,5088,9919528
2036,5089,6868572
2037,5090,8816787
2038,5091,10705802
2039,5092,9531238
2040,5093,8907014
2041,5094,8267053
2042,5096,69860
2043,5097,469213
2044,5098,4199447
2045,5099,18078574
2046,5100,9926171
2047,5104,2235574
2048,5106,972648
2049,5107,52049
2050,5108,977780
2051,5111,23705804
2052,5112,472360
2053,5113,1054462
2054,5114,32810
2055,5115,7250332
2056,5118,276838
2057,5119,4901776
2058,5120,44227
2059,5123,7454631
2060,5124,31227
2061,5125,6173967
2062,5126,139321
2063,5128,23345809
2064,5129,607382
2065,5130,1376113
2066,5131,6818596
2067,5132,8378461
2068,5133,7992749
2069,5135,10972659
2070,5136,9805118
2071,5137,7968685
2072,5139,6216008
2073,5142,10250187
2074,5144,9390730
2075,5149,3438043
2076,5150,475606
2077,5151,696151
2078,5153,853457
2079,5154,688051
2080,5157,20181
2081,5158,6373769
2082,5159,9338607
2083,5160,8528684
2084,5161,192608
2085,5163,2017289
2086,5164,36481816
2087,5165,4870978
2088,5167,7847099
2089,5168,4285098
2090,5169,6886131
2091,5170,11073137
2092,5171,2633504
2093,5172,1164794
2094,5173,5708083
2095,5175,12653005
2096,5176,690262
2097,5178,8370189
2098,5180,1929815
2099,5181,250849
2100,5187,1516944
2101,5190,218248
2102,5192,546436
2103,5194,61361
2104,5195,11736015
2105,5196,12277827
2106,5197,10782669
2107,5200,13021566
2108,5201,10316014
2109,5203,7319330
2110,5204,4364383
2111,5205,4395782
2112,5206,10119383
2113,5207,7364381
2114,5208,119802
2115,5213,18540007
2116,5218,81195
2117,5219,29391
2118,5220,6256241
2119,5221,4063863
2120,5223,1453428
2121,5224,1301266
2122,5225,1083130
2123,5226,1760714
2124,5229,7686252
2125,5231,37730
2126,5232,1258398
2127,5236,2697746
2128,5239,6261679
2129,5240,6703395
2130,5242,111061
2131,5243,67700
2132,5244,242712
2133,5246,307659
2134,5248,2526754
2135,5250,5436957
2136,5251,6250338
2137,5252,687878
2138,5255,99626
2139,5259,125997
2140,5260,285933
2141,5261,72554
2142,5262,1541059
2143,5264,131797
2144,5265,7427435
2145,5268,2350599
2146,5269,7536576
2147,5270,64094
2148,5271,4974776
2149,5272,109983
2150,5273,2530623
2151,5275,2797102
2152,5276,9467877
2153,5278,1534534
2154,5279,404124
2155,5280,16658
2156,5281,586302
2157,5282,5099828
2158,5283,160774
2159,5285,8366009
2160,5286,2959071
2161,5287,107753
2162,5289,5511381
2163,5291,8403773
2164,5292,6837720
2165,5293,1343360
2166,5294,6217380
2167,5296,899866
2168,5297,31713
2169,5298,12228
2170,5300,490640
2171,5301,2661826
2172,5303,247536
2173,5307,3661889
2174,5308,6266494
2175,5309,6578831
2176,5310,6748745
2177,5311,11270153
2178,5312,1465406
2179,5313,7188563
2180,5314,235575
2181,5316,188452
2182,5319,2168734
2183,5321,1922702
2184,5322,753566
2185,5323,313641
2186,5325,116016
2187,5326,204734
2188,5328,147632
2189,5329,11200
2190,5330,222260
2191,5331,42240
2192,5332,71365
2193,5335,171621
2194,5336,293456
2195,5337,1178526
2196,5338,59952
2197,5339,5821390
2198,5340,168446
2199,5342,1266527
2200,5343,35951
2201,5344,285025
2202,5345,10412948
2203,5346,7719761
2204,5348,3310022
2205,5349,953530
2206,5350,9206929
2207,5351,13567710
2208,5352,38212
2209,5354,4626251
2210,5355,790649
2211,5356,6946
2212,5357,532732
2213,5358,399957
2214,5359,679222
2215,5360,71849
2216,5361,6966093
2217,5362,5977095
2218,5363,3592185
2219,5364,4868236
2220,5365,7394115
2221,5366,1470046
2222,5367,967053
2223,5368,3790085
2224,5369,389792
2225,5370,5731980
2226,5371,15357
2227,5372,563368
2228,5373,5408890
2229,5374,124098
2230,5375,5622589
2231,5376,3684157
2232,5377,3451681
2233,5378,3597107
2234,5379,2971856
2235,5380,3930566
2236,5381,5570593
2237,5383,11125969
2238,5384,10566293
2239,5385,10482047
2240,5386,1488464
2241,5387,10069361
2242,5388,5112341
2243,5389,97212
2244,5391,10542713
2245,5392,8372408
2246,5393,315550
2247,5394,10633487
2248,5395,735441
2249,5396,26487
2250,5397,221936
2251,5399,61892
2252,5400,220269
2253,5401,25102
2254,5402,110752
2255,5405,259218
2256,5406,343534
2257,5407,6218397
2258,5408,7213618
2259,5409,11599234
2260,5410,248960
2261,5411,1871995
2262,5412,268820
2263,5413,302027
2264,5414,2301
2265,5415,136171
2266,5416,64042
2267,5417,2043
2268,5418,209945
2269,5419,9077194
2270,5430,2109673
2271,5432,748792
2272,5433,1864972
2273,5437,3139400
2274,5438,7078621
2275,5439,11857510
2276,5440,1768924
2277,5441,3444864
2278,5442,17042
2279,5443,8203
2280,5444,3447610
2281,5445,14197585
2282,5446,149464
2283,5447,8223585
2284,5448,17113
2285,5449,87099
2286,5450,8265774
2287,5451,6433692
2288,5452,8811745
2289,5454,485711
2290,5456,173270
2291,5457,9413983
2292,5458,4205308
2293,5459,16161
2294,5460,971383
2295,5461,892763
2296,5462,1102730
2297,5463,415381
2298,5464,95301
2299,5465,21545
2300,5466,40043
2301,5468,5073974
2302,5469,5690029
2303,5470,1668097
2304,5471,61809
2305,5472,5540494
2306,5473,9914481
2307,5474,253691
2308,5477,7842176
2309,5478,20908341
2310,5480,764744
2311,5481,21652052
2312,5482,7948857
2313,5483,1832503
2314,5484,11556251
2315,5485,7765744
2316,5486,12450661
2317,5487,2247122
2318,5488,3539128
2319,5489,8520004
2320,5490,9437914
2321,5491,1265400
2322,5493,9307478
2323,5494,5413550
2324,5495,63567
2325,5496,1298129
2326,5497,22330
2327,5498,72310
2328,5499,44260
2329,5502,101230
2330,5504,22200
2331,5505,20582
2332,5506,149679
2333,5507,7458412
2334,5508,7774856
2335,5509,9096518
2336,5510,9075846
2337,5511,7064916
2338,5512,5941574
2339,5513,120502
2340,5514,28341
2341,5515,1113386
2342,5516,358490
2343,5517,2634415
2344,5518,5265674
2345,5519,8024523
2346,5520,7900727
2347,5521,6634769
2348,5523,15776
2349,5524,4648298
2350,5525,19368
2351,5527,32809
2352,5528,1343996
2353,5529,149553
2354,5530,205544
2355,5531,274057
2356,5532,3352
2357,5533,2790117
2358,5534,3037550
2359,5535,43344
2360,5536,41445
2361,5537,6115
2362,5538,96808
2363,5539,57388
2364,5540,18673
2365,5541,4960313
2366,5542,1186644
2367,5543,5839659
2368,5544,6324081
2369,5545,4691576
2370,5546,820596
2371,5547,29434
2372,5548,132152
2373,5549,5982052
2374,5554,27788
2375,5563,48049
2376,5588,22697
2377,5958,2665957
2378,5960,2058462
2379,5961,3497937
