,SchoolCode,Expenditure
366,2310,5145261
367,2311,5466054
368,2312,7724181
369,2314,11857340
370,2315,6695218
371,2317,5529284
372,2318,6740526
373,2319,4541749
374,2321,6183725
375,2322,4275082
376,2325,15495513
377,2326,8465158
378,2328,5095541
379,2329,3528355
380,2330,5281474
381,2331,3157586
382,2334,5123075
383,2335,891687
384,2336,6313354
385,2338,8897027
386,2340,8274569
387,2341,1913368
388,2342,4054443
389,2343,9177814
390,2344,11206092
391,2345,8681003
392,2347,7314019
393,2349,7029091
394,2353,10210782
395,2355,1013053
396,2357,4430063
397,2358,5645008
398,2359,9774506
399,2360,6775717
400,2361,3559029
401,2362,16082247
402,2364,11004786
403,2365,4760753
404,2367,4202154
405,2368,4576999
406,2369,6080332
407,2370,4911335
408,2371,15260205
409,2372,8292536
410,2376,10804949
411,2377,9379665
412,2379,6471448
413,2380,7166193
414,2381,9135189
415,2385,3488463
416,2386,1677396
417,2387,5510871
418,2388,12725174
419,2389,519353
420,2390,8899025
421,2391,5323631
422,2392,14843269
423,2394,11203969
424,2395,16146659
425,2396,2868109
426,2397,2653627
427,2398,7233551
428,2399,6598655
429,2400,6420073
430,2401,5577824
431,2402,21465276
432,2404,5185068
433,2405,4011647
434,2406,9200314
435,2410,11663451
436,2415,25229748
437,2416,11518289
438,2417,22258224
439,2418,6282601
440,2419,7385223
441,2422,4591628
442,2423,2265522
443,2425,19572739
444,2426,24820492
445,2428,23108668
446,2430,6363555
447,2431,5202085
448,2432,1599843
449,2433,9196816
450,2434,4281702
451,2435,14456179
452,2437,5999093
453,2439,7032576
454,2441,4974436
455,2443,2207813
456,2446,4406498
457,2447,7105559
458,2448,5844841
459,2449,4502976
460,2450,7165254
461,2453,9747715
462,2457,3901686
463,2458,5658929
464,2459,5938582
465,2462,7376910
466,2466,2639021
467,2467,11196179
468,2468,3924158
469,2469,7761615
470,2471,12165953
471,2472,1568584
472,2473,1608093
473,2474,5199350
474,2475,17451826
475,2476,11536082
476,2478,4732691
477,2479,21600063
478,2480,1821640
479,2481,9039539
480,2484,2161558
481,2485,6589756
482,2487,2767727
483,2488,19697201
484,2489,4699550
485,2491,927452
486,2493,3754343
487,2494,3973869
488,2495,4185214
489,2496,9251823
490,2497,4865534
491,2498,5477784
492,2499,10152913
493,2501,7053877
494,2502,719026
495,2503,4985321
496,2505,5888074
497,2506,8522078
498,2507,4199300
499,2508,10926645
500,2509,4817530
501,2510,6835134
502,2511,3685918
503,2512,1565074
504,2513,1133532
505,2514,3816383
506,2516,1611099
507,2517,4636352
508,2518,5089212
509,2519,8806193
510,2520,4550106
511,2521,4756473
512,2522,5156375
513,2523,21170675
514,2525,3307416
515,2527,8017747
516,2528,6010437
517,2529,7882667
518,2530,7211534
519,2531,7214170
520,2532,6834589
521,2539,5320309
522,2542,3713386
523,2543,5227733
524,2545,9913877
525,2546,7445179
526,2549,3775698
527,2550,2809498
528,2552,8221694
529,2553,14254046
530,2554,6511440
531,2555,11980981
532,2558,8620753
533,2560,4776855
534,2561,3412323
535,2562,5060713
536,2563,2939996
537,2564,10355296
538,2565,7953729
539,2569,4255936
540,2570,3297838
541,2572,4106118
542,2575,6575526
543,2576,9879288
544,2577,4957008
545,2578,6446005
546,2579,5674469
547,2580,7705492
548,2581,17634578
549,2584,9084138
550,2585,3367386
551,2587,5271916
552,2588,3290729
553,2591,4967637
554,2592,9990558
555,2594,3123411
556,2596,2164268
557,2597,9060307
558,2602,1199351
559,2603,1798514
560,2605,2295655
561,2607,5169281
562,2608,5491298
563,2610,6274240
564,2612,91704
565,2613,9783978
566,2615,20191104
567,2616,3970282
568,2620,3443496
569,2621,5052721
570,2622,1770947
571,2623,3224972
572,2624,5262129
573,2625,5300802
574,2632,2076167
575,2633,19862719
576,2634,1359937
577,2635,5333560
578,2636,4029649
579,2637,4929644
580,2639,10739765
